lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,epoch
,189,0.044055502861738205,0.044055502861738205,0.044055502861738205,0
7.960000000000001e-05,199,,,,
7.960000000000001e-05,199,,,,
,199,0.0869038924574852,0.0869038924574852,0.0869038924574852,0
8.36e-05,209,,,,
8.36e-05,209,,,,
,209,0.04332806169986725,0.04332806169986725,0.04332806169986725,0
8.76e-05,219,,,,
8.76e-05,219,,,,
,219,0.08889427036046982,0.08889427036046982,0.08889427036046982,0
9.16e-05,229,,,,
9.16e-05,229,,,,
,229,0.23962977528572083,0.23962977528572083,0.23962977528572083,0
9.56e-05,239,,,,
9.56e-05,239,,,,
,239,0.05949537083506584,0.05949537083506584,0.05949537083506584,0
9.960000000000001e-05,249,,,,
9.960000000000001e-05,249,,,,
,249,0.05083070322871208,0.05083070322871208,0.05083070322871208,0
0.0001,259,,,,
0.0001,259,,,,
,259,0.08031736314296722,0.08031736314296722,0.08031736314296722,0
0.0001,269,,,,
0.0001,269,,,,
,269,0.08008234947919846,0.08008234947919846,0.08008234947919846,0
0.0001,279,,,,
0.0001,279,,,,
,279,0.04562091454863548,0.04562091454863548,0.04562091454863548,0
0.0001,289,,,,
0.0001,289,,,,
,289,0.05121314525604248,0.05121314525604248,0.05121314525604248,0
0.0001,299,,,,
0.0001,299,,,,
,299,0.04310660809278488,0.04310660809278488,0.04310660809278488,0
0.0001,309,,,,
0.0001,309,,,,
,309,0.03973662108182907,0.03973662108182907,0.03973662108182907,0
0.0001,319,,,,
0.0001,319,,,,
,319,0.011413270607590675,0.011413270607590675,0.011413270607590675,0
0.0001,329,,,,
0.0001,329,,,,
,329,0.07769274711608887,0.07769274711608887,0.07769274711608887,0
0.0001,339,,,,
0.0001,339,,,,
,339,0.03487033769488335,0.03487033769488335,0.03487033769488335,0
0.0001,349,,,,
0.0001,349,,,,
,349,0.15460065007209778,0.15460065007209778,0.15460065007209778,0
0.0001,359,,,,
0.0001,359,,,,
,359,0.1311279535293579,0.1311279535293579,0.1311279535293579,0
0.0001,369,,,,
0.0001,369,,,,
,369,0.04075012728571892,0.04075012728571892,0.04075012728571892,0
0.0001,379,,,,
0.0001,379,,,,
,379,0.040166329592466354,0.040166329592466354,0.040166329592466354,0
0.0001,389,,,,
0.0001,389,,,,
,389,0.10622332245111465,0.10622332245111465,0.10622332245111465,0
0.0001,399,,,,
0.0001,399,,,,
,399,0.03425027057528496,0.03425027057528496,0.03425027057528496,0
0.0001,409,,,,
0.0001,409,,,,
,409,0.05236002802848816,0.05236002802848816,0.05236002802848816,0
0.0001,419,,,,
0.0001,419,,,,
,419,0.03533751890063286,0.03533751890063286,0.03533751890063286,0
0.0001,429,,,,
0.0001,429,,,,
,429,0.15454302728176117,0.15454302728176117,0.15454302728176117,0
0.0001,439,,,,
0.0001,439,,,,
,439,0.047607894986867905,0.047607894986867905,0.047607894986867905,0
0.0001,449,,,,
0.0001,449,,,,
,449,0.034342966973781586,0.034342966973781586,0.034342966973781586,0
0.0001,459,,,,
0.0001,459,,,,
,459,0.06506308913230896,0.06506308913230896,0.06506308913230896,0
0.0001,469,,,,
0.0001,469,,,,
,469,0.026297807693481445,0.026297807693481445,0.026297807693481445,0
0.0001,479,,,,
0.0001,479,,,,
,479,0.03140636160969734,0.03140636160969734,0.03140636160969734,0
0.0001,489,,,,
0.0001,489,,,,
,489,0.03567955270409584,0.03567955270409584,0.03567955270409584,0
0.0001,499,,,,
0.0001,499,,,,
,499,0.05356290563941002,0.05356290563941002,0.05356290563941002,0
0.0001,509,,,,
0.0001,509,,,,
,509,0.03447236493229866,0.03447236493229866,0.03447236493229866,0
0.0001,519,,,,
0.0001,519,,,,
,519,0.27543720602989197,0.27543720602989197,0.27543720602989197,0
0.0001,529,,,,
0.0001,529,,,,
,529,0.05200084671378136,0.05200084671378136,0.05200084671378136,0
0.0001,539,,,,
0.0001,539,,,,
,539,0.16455845534801483,0.16455845534801483,0.16455845534801483,0
0.0001,549,,,,
0.0001,549,,,,
,549,0.050846319645643234,0.050846319645643234,0.050846319645643234,0
0.0001,559,,,,
0.0001,559,,,,
,559,0.04915660619735718,0.04915660619735718,0.04915660619735718,0
0.0001,569,,,,
0.0001,569,,,,
,569,0.03633739799261093,0.03633739799261093,0.03633739799261093,0
0.0001,579,,,,
0.0001,579,,,,
,579,0.059150565415620804,0.059150565415620804,0.059150565415620804,0
0.0001,589,,,,
0.0001,589,,,,
,589,0.06197401508688927,0.06197401508688927,0.06197401508688927,0
0.0001,599,,,,
0.0001,599,,,,
,599,0.04621808975934982,0.04621808975934982,0.04621808975934982,0
0.0001,609,,,,
0.0001,609,,,,
,609,0.18949535489082336,0.18949535489082336,0.18949535489082336,0
0.0001,619,,,,
0.0001,619,,,,
,619,0.07378079742193222,0.07378079742193222,0.07378079742193222,0
0.0001,629,,,,
0.0001,629,,,,
,629,0.06869032233953476,0.06869032233953476,0.06869032233953476,0
0.0001,639,,,,
0.0001,639,,,,
,639,0.07389818131923676,0.07389818131923676,0.07389818131923676,0
0.0001,649,,,,
0.0001,649,,,,
,649,0.09959285706281662,0.09959285706281662,0.09959285706281662,0
0.0001,659,,,,
0.0001,659,,,,
,659,0.2205577939748764,0.2205577939748764,0.2205577939748764,0
0.0001,669,,,,
0.0001,669,,,,
,669,0.11667382717132568,0.11667382717132568,0.11667382717132568,0
0.0001,679,,,,
0.0001,679,,,,
,679,0.053647756576538086,0.053647756576538086,0.053647756576538086,0
0.0001,689,,,,
0.0001,689,,,,
,689,0.034629691392183304,0.034629691392183304,0.034629691392183304,0
0.0001,699,,,,
0.0001,699,,,,
,699,0.04689521715044975,0.04689521715044975,0.04689521715044975,0
0.0001,709,,,,
0.0001,709,,,,
,709,0.03893938660621643,0.03893938660621643,0.03893938660621643,0
0.0001,719,,,,
0.0001,719,,,,
,719,0.048876672983169556,0.048876672983169556,0.048876672983169556,0
0.0001,729,,,,
0.0001,729,,,,
,729,0.037389110773801804,0.037389110773801804,0.037389110773801804,0
0.0001,739,,,,
0.0001,739,,,,
,739,0.11079519242048264,0.11079519242048264,0.11079519242048264,0
0.0001,749,,,,
0.0001,749,,,,
,749,0.05656275898218155,0.05656275898218155,0.05656275898218155,0
0.0001,759,,,,
0.0001,759,,,,
,759,0.02858503721654415,0.02858503721654415,0.02858503721654415,0
0.0001,769,,,,
0.0001,769,,,,
,769,0.045003246515989304,0.045003246515989304,0.045003246515989304,0
0.0001,779,,,,
0.0001,779,,,,
,779,0.22471316158771515,0.22471316158771515,0.22471316158771515,0
0.0001,789,,,,
0.0001,789,,,,
,789,0.06762660294771194,0.06762660294771194,0.06762660294771194,0
0.0001,799,,,,
0.0001,799,,,,
,799,0.04932169243693352,0.04932169243693352,0.04932169243693352,0
0.0001,809,,,,
0.0001,809,,,,
,809,0.057364918291568756,0.057364918291568756,0.057364918291568756,0
0.0001,819,,,,
0.0001,819,,,,
,819,0.01564706303179264,0.01564706303179264,0.01564706303179264,0
0.0001,829,,,,
0.0001,829,,,,
,829,0.064656563103199,0.064656563103199,0.064656563103199,0
0.0001,839,,,,
0.0001,839,,,,
,839,0.03108551912009716,0.03108551912009716,0.03108551912009716,0
0.0001,849,,,,
0.0001,849,,,,
,849,0.1099097728729248,0.1099097728729248,0.1099097728729248,0
0.0001,859,,,,
0.0001,859,,,,
,859,0.031018448993563652,0.031018448993563652,0.031018448993563652,0
0.0001,869,,,,
0.0001,869,,,,
,869,0.02806178666651249,0.02806178666651249,0.02806178666651249,0
0.0001,879,,,,
0.0001,879,,,,
,879,0.12620249390602112,0.12620249390602112,0.12620249390602112,0
0.0001,889,,,,
0.0001,889,,,,
,889,0.09366387128829956,0.09366387128829956,0.09366387128829956,0
0.0001,899,,,,
0.0001,899,,,,
,899,0.10990466177463531,0.10990466177463531,0.10990466177463531,0
0.0001,909,,,,
0.0001,909,,,,
,909,0.042962078005075455,0.042962078005075455,0.042962078005075455,0
0.0001,919,,,,
0.0001,919,,,,
,919,0.03900948166847229,0.03900948166847229,0.03900948166847229,0
0.0001,929,,,,
0.0001,929,,,,
,929,0.02457856573164463,0.02457856573164463,0.02457856573164463,0
0.0001,939,,,,
0.0001,939,,,,
,939,0.03457217290997505,0.03457217290997505,0.03457217290997505,0
0.0001,949,,,,
0.0001,949,,,,
,949,0.16895203292369843,0.16895203292369843,0.16895203292369843,0
0.0001,959,,,,
0.0001,959,,,,
,959,0.1073702797293663,0.1073702797293663,0.1073702797293663,0
0.0001,969,,,,
0.0001,969,,,,
,969,0.0383572094142437,0.0383572094142437,0.0383572094142437,0
0.0001,979,,,,
0.0001,979,,,,
,979,0.18797175586223602,0.18797175586223602,0.18797175586223602,0
0.0001,989,,,,
0.0001,989,,,,
,989,0.035593923181295395,0.035593923181295395,0.035593923181295395,0
0.0001,999,,,,
0.0001,999,,,,
,999,0.03374866768717766,0.03374866768717766,0.03374866768717766,0
0.0001,1009,,,,
0.0001,1009,,,,
,1009,0.009060575626790524,0.009060575626790524,0.009060575626790524,0
0.0001,1019,,,,
0.0001,1019,,,,
,1019,0.0596005916595459,0.0596005916595459,0.0596005916595459,0
0.0001,1029,,,,
0.0001,1029,,,,
,1029,0.09254352003335953,0.09254352003335953,0.09254352003335953,0
0.0001,1039,,,,
0.0001,1039,,,,
,1039,0.05422823503613472,0.05422823503613472,0.05422823503613472,0
0.0001,1049,,,,
0.0001,1049,,,,
,1049,0.03917694836854935,0.03917694836854935,0.03917694836854935,0
0.0001,1059,,,,
0.0001,1059,,,,
,1059,0.07726146280765533,0.07726146280765533,0.07726146280765533,0
0.0001,1069,,,,
0.0001,1069,,,,
,1069,0.12959900498390198,0.12959900498390198,0.12959900498390198,0
0.0001,1079,,,,
0.0001,1079,,,,
,1079,0.047623809427022934,0.047623809427022934,0.047623809427022934,0
0.0001,1089,,,,
0.0001,1089,,,,
,1089,0.10683657974004745,0.10683657974004745,0.10683657974004745,0
0.0001,1099,,,,
0.0001,1099,,,,
,1099,0.04549657925963402,0.04549657925963402,0.04549657925963402,0
0.0001,1109,,,,
0.0001,1109,,,,
,1109,0.025949973613023758,0.025949973613023758,0.025949973613023758,0
0.0001,1119,,,,
0.0001,1119,,,,
,1119,0.010988220572471619,0.010988220572471619,0.010988220572471619,0
0.0001,1129,,,,
0.0001,1129,,,,
,1129,0.10598178207874298,0.10598178207874298,0.10598178207874298,0
0.0001,1139,,,,
0.0001,1139,,,,
,1139,0.026261840015649796,0.026261840015649796,0.026261840015649796,0
0.0001,1149,,,,
0.0001,1149,,,,
,1149,0.08043229579925537,0.08043229579925537,0.08043229579925537,0
0.0001,1159,,,,
0.0001,1159,,,,
,1159,0.041289862245321274,0.041289862245321274,0.041289862245321274,0
0.0001,1169,,,,
0.0001,1169,,,,
,1169,0.07663116604089737,0.07663116604089737,0.07663116604089737,0
0.0001,1179,,,,
0.0001,1179,,,,
,1179,0.052218515425920486,0.052218515425920486,0.052218515425920486,0
0.0001,1189,,,,
0.0001,1189,,,,
,1189,0.1360102891921997,0.1360102891921997,0.1360102891921997,0
0.0001,1199,,,,
0.0001,1199,,,,
,1199,0.05161596089601517,0.05161596089601517,0.05161596089601517,0
0.0001,1209,,,,
0.0001,1209,,,,
,1209,0.07366903871297836,0.07366903871297836,0.07366903871297836,0
0.0001,1219,,,,
0.0001,1219,,,,
,1219,0.06543517112731934,0.06543517112731934,0.06543517112731934,0
0.0001,1229,,,,
0.0001,1229,,,,
,1229,0.05508987978100777,0.05508987978100777,0.05508987978100777,0
0.0001,1239,,,,
0.0001,1239,,,,
,1239,0.10940951108932495,0.10940951108932495,0.10940951108932495,0
0.0001,1249,,,,
0.0001,1249,,,,
,1249,0.061315905302762985,0.061315905302762985,0.061315905302762985,0
0.0001,1259,,,,
0.0001,1259,,,,
,1259,0.054580699652433395,0.054580699652433395,0.054580699652433395,0
0.0001,1269,,,,
0.0001,1269,,,,
,1269,0.031803470104932785,0.031803470104932785,0.031803470104932785,0
0.0001,1279,,,,
0.0001,1279,,,,
,1279,0.14786887168884277,0.14786887168884277,0.14786887168884277,0
0.0001,1289,,,,
0.0001,1289,,,,
,1289,0.02061258628964424,0.02061258628964424,0.02061258628964424,0
0.0001,1299,,,,
0.0001,1299,,,,
,1299,0.08539653569459915,0.08539653569459915,0.08539653569459915,0
0.0001,1309,,,,
0.0001,1309,,,,
,1309,0.03184274956583977,0.03184274956583977,0.03184274956583977,0
0.0001,1319,,,,
0.0001,1319,,,,
,1319,0.052795737981796265,0.052795737981796265,0.052795737981796265,0
0.0001,1329,,,,
0.0001,1329,,,,
,1329,0.06612219661474228,0.06612219661474228,0.06612219661474228,0
0.0001,1339,,,,
0.0001,1339,,,,
,1339,0.1105172410607338,0.1105172410607338,0.1105172410607338,0
0.0001,1349,,,,
0.0001,1349,,,,
,1349,0.05836253985762596,0.05836253985762596,0.05836253985762596,0
0.0001,1359,,,,
0.0001,1359,,,,
,1359,0.24591998755931854,0.24591998755931854,0.24591998755931854,0
0.0001,1369,,,,
0.0001,1369,,,,
,1369,0.03612658381462097,0.03612658381462097,0.03612658381462097,0
0.0001,1379,,,,
0.0001,1379,,,,
,1379,0.023868978023529053,0.023868978023529053,0.023868978023529053,0
0.0001,1389,,,,
0.0001,1389,,,,
,1389,0.049710460007190704,0.049710460007190704,0.049710460007190704,0
0.0001,1399,,,,
0.0001,1399,,,,
,1399,0.0615689642727375,0.0615689642727375,0.0615689642727375,0
0.0001,1409,,,,
0.0001,1409,,,,
,1409,0.09776640683412552,0.09776640683412552,0.09776640683412552,0
0.0001,1419,,,,
0.0001,1419,,,,
